,latitude,longitude,trading_name
453,53.34292900000001,-6.2909969000000014,The Malthouse
197,53.3435385,-6.2891176,Mccanns
452,53.342484000000006,-6.288516,The Old Harbour
451,53.341874,-6.2867093,Guinness Storehouse
449,53.34044660000001,-6.2868739,The Brewery Bar
448,53.3367912,-6.287828500000002,Morrisseys
211,53.33378489999999,-6.2906866999999975,Lowes
212,53.3322257,-6.2927798999999975,The Barn House
213,53.3300437,-6.300040599999999,Dunne Stores
217,53.3245424,-6.296410799999999,The Four Roads
218,53.3206345,-6.292099599999999,The Stoneboat 35/37 Sundrive Road
220,53.32332140000001,-6.2802047,Mcgowans Of Harold's Cross
221,53.3237063,-6.2785762,"Peggy Kellys/ Dsix Wine, Beer And Spirits"
222,53.32165550000001,-6.2795147,Mcgarrys
219,53.3203831,-6.2789739,Rosie O'gradys
223,53.3120691,-6.2745918,The 108
224,53.31131460000001,-6.2830311,The Terenure Inn
225,53.31004429999999,-6.2832674000000015,Vaughan's Eagle House
226,53.30967159999999,-6.28454,Brady's Of Terenure
227,53.3141769,-6.296395,Kcr House
228,53.30926899999999,-6.305369199999999,The Two Sisters
229,53.3077832,-6.319392099999999,The Pines
229,53.3077832,-6.319392099999999,The Pines
231,53.293851,-6.324342,The Spawell Golf And Leisure Centre
232,53.30700649999999,-6.3367825,The Traders Public House
233,53.31644,-6.333025,The Cherry Tree
234,53.31741,-6.332359200000001,The Kestrel House
236,53.316056,-6.317396,The Submarine Bar
235,53.3202407,-6.316785299999999,The Village Inn
237,53.32421579999999,-6.325416199999999,Eleanora's
238,53.3240713,-6.3264907999999975,The Black Forge
239,53.32385300000001,-6.3284806,The Halfway House
240,53.32825379999999,-6.3442009000000015,The Kylemore House
241,53.33130229999999,-6.343033399999999,The Cottage Inn
244,53.341046,-6.3351638,Colgans
242,53.3345882,-6.3278259000000014,Blackhorse Inn
243,53.3377747,-6.328836400000001,Slatts
245,53.3425433,-6.3301276,Ruby Finnegans
246,53.34296879999999,-6.3376117,The Laurence Lounge
248,53.3483445,-6.342457,Mullingar House
247,53.34959250000001,-6.3443438,The Villager
249,53.34769989999999,-6.345867,Aussie Bar And Restaurant
251,53.34247560000001,-6.3536180999999985,Chasers
252,53.3427176,-6.3565707,Fowler's
253,53.34169820000001,-6.356709299999999,Younges
254,53.3421911,-6.357186,Downeys
250,53.34255329999999,-6.3587612,The 79 Inn
255,53.35006139999999,-6.3774345,Silver Granite
256,53.35643440000001,-6.370762,The Palmerstown House
257,53.35905500000001,-6.3586481,The Anglers Rest
259,53.372449,-6.3605559000000005,Brasserie Gastropub 15
258,53.37285670000001,-6.3625105,Myos
262,53.38401010000001,-6.367768,Brady's Castleknock Inn
263,53.3848948,-6.371392699999999,The Bell/davy And Phelans Bar
261,53.385909,-6.374389,The Vineyard
264,53.386826,-6.377637,The Greyhound Inn
260,53.38315890000001,-6.380830800000001,The Roselawn Inn
265,53.3892629,-6.3887845,The Great Wood
266,53.3996123,-6.3745758000000015,Leonard's Pub
267,53.4194488,-6.3797316,Park Plaza Tyrrelstown
268,53.402624,-6.3974699999999975,Paidí Ógs
269,53.39276330000001,-6.4196326999999975,Hartstown House
270,53.395985,-6.439998999999999,Cuchulainns Of Ongar
271,53.37357629999999,-6.4309083,Luttrellstown Castle Clubhouse
272,53.3720083,-6.3891157,The Carpenter
274,53.3623406,-6.385714999999999,Strawberry Hall
273,53.365775,-6.395446,Castleknock Golf Club
275,53.35603620000001,-6.3976371,Murrays/ Deadmans Inn
276,53.3449076,-6.3978677,The Finches
277,53.32136679999999,-6.393747900000001,The Black Lion
279,53.3213421,-6.3935092,The Black Lion
278,53.32127910000001,-6.393307,The Purty Central
280,53.321011,-6.3929791,The Laurels
281,53.319143,-6.3633919999999975,The Red Cow Inn
282,53.30746749999999,-6.3675481,The Kingswood Lodge
284,53.289722,-6.364942,Metro Cafe Bar
283,53.3023325,-6.378597,The Belgard Inn
285,53.2867544,-6.3898480000000015,Croughs
286,53.27675079999999,-6.379438299999999,The Killinarden House
287,53.2716653,-6.3718235,Kiltipper Cafe Bar
288,53.2752336,-6.3542872,The Old Mill
289,53.27491999999999,-6.344958,Scholars
290,53.2644038,-6.296883599999999,Merry Ploughboy Pub
292,53.2841005,-6.2954289,Buglers
291,53.2812046,-6.275886799999999,The Eden House
293,53.2967024,-6.284808300000001,Yellow House
294,53.2983382,-6.2856039999999975,Revels
295,53.29974139999999,-6.2681124000000015,The Glenside
296,53.29500609999999,-6.2568635000000015,The Bottle Tower
304,53.28414420000001,-6.2507361,The Willows
303,53.2747083,-6.2545715,Ballinteer House
302,53.2764191,-6.249104,The Coach House
299,53.2862671,-6.237279900000001,The Rockfield Lounge
300,53.2778784,-6.231125,Tgi Friday's/dante
301,53.27658979999999,-6.224056299999999,The Balally Inn
307,53.29266170000001,-6.2298924000000016,The Goat
298,53.28700799999999,-6.2422669,Harvey Nichols
306,53.287395,-6.2426111,Winters Bar
305,53.289016,-6.242933,The Eagle House
297,53.2893902,-6.2433345000000005,Dundrum House
308,53.2952416,-6.2462502,Uncle Toms Cabin
309,53.30116659999999,-6.245978599999999,Arbour House
310,53.307986,-6.255082,Dropping Well
316,53.3241616,-6.2524114,Smyth's Of Ranelagh
314,53.3240817,-6.252326000000001,Humphreys
315,53.3233736,-6.2503527000000005,Birchalls
313,53.3232446,-6.2500813,Mcsorleys Public House
317,53.32443869999999,-6.2404103,Mccloskeys
318,53.32268639999999,-6.2385704,Madigan's
311,53.31412049999999,-6.2387375,Clonskeagh House
312,53.316089,-6.2375089999999975,Ashtons
319,53.3216627,-6.2351724000000015,Arthur Maynes Donnybrook
320,53.322259,-6.236567900000002,Kielys Of Donnybrook
324,53.329262,-6.232083,The Bridge 1859
325,53.32911230000001,-6.2304806999999975,Crowes
323,53.3290443,-6.2304058,Paddy Cullens And Also Mary Macs
322,53.328574,-6.228888,Madigan's
321,53.3184303,-6.211114100000001,The Merrion Inn
327,53.3323703,-6.2152673,Sandymount House
326,53.3328637,-6.2152293,O' Reilly
328,53.332912,-6.215955000000001,Mulligans Of Sandymount
333,53.33878829999999,-6.222972899999999,The Vintage Public House
331,53.3396145,-6.2229892,O'keeffe's
330,53.34208889999999,-6.227492,The Yacht Bar
335,53.3423627,-6.2276976999999984,The Shipwright
332,53.3416997,-6.2275797,John Clarke And Sons South Dock
334,53.34165600000001,-6.22786,The Oarsman
336,53.34000260000001,-6.2321068,Shelbourne Greyhound Stadium
329,53.33748199999999,-6.2321839999999975,The Bath
385,53.337328600000006,-6.2331933,The Lansdowne Bar
386,53.33701,-6.234100199999999,The Chophouse
384,53.3372738,-6.2342466,Slattery's Public House
387,53.3363654,-6.2368377000000015,The Beggars Bush
389,53.33477329999999,-6.242700399999999,The 51
388,53.3332656,-6.242967600000001,Searsons
392,53.3333507,-6.2432824999999985,The Waterloo
49,53.33389449999999,-6.245326599999999,The Wellington
391,53.3347095,-6.2442305000000005,Angelina's
390,53.3347706,-6.2434122000000025,Smyths
383,53.33790010000001,-6.2428233,Scruffy Murphys
51,53.338363,-6.243190999999999,Oil Can Harrys
382,53.339684,-6.2421836,Becky Morgan's
54,53.340854,-6.2448584,Doolans Public House
338,53.34335000000001,-6.244716299999999,Padraig Pearse
337,53.340093,-6.2393160000000005,Osteria Lucio
381,53.342861,-6.236948,Charlotte Quay Restaurant
87,53.3448554,-6.2384905,Hq
88,53.3470799,-6.2379557,Cill Airne
89,53.34979860000001,-6.230162,The Green Room
90,53.3546863,-6.229311699999999,Seabank House
91,53.35839960000001,-6.2282715,The East Point Cafe Bar
93,53.3664162,-6.218083399999999,Brooks Bar
94,53.36709339999999,-6.216573,Harry Byrne
92,53.36168249999999,-6.215114799999999,The Yacht
95,53.36474699999999,-6.2068330000000005,Clontarf Castle Hotel
96,53.3596468,-6.189672,Pebble Beach
97,53.3708317,-6.2058044999999975,The Beachcomber
98,53.37550719999999,-6.2094687,The Ramble Inn
101,53.3855169,-6.214074699999999,The Artane House
102,53.38663670000001,-6.2114543,The Ardlea Inn
100,53.3838547,-6.206873000000001,The Roundabout
103,53.38886579999999,-6.2010089000000015,Kyles
104,53.3892493,-6.2008736,The Cock And Bull
99,53.37838780000001,-6.1934245,Horse And Hound
105,53.3943429,-6.192330699999999,Kavanagh's
106,53.388827,-6.180918699999999,The Concorde Lounge
109,53.37987579999999,-6.177242700000001,Watermill Lounge
108,53.38048199999999,-6.1749199999999975,The Station House
110,53.3800342,-6.1743324,The Inn
111,53.3812142,-6.1649233,The Cedar Lounge
107,53.3882916,-6.1672096,Madigan's
112,53.3859978,-6.1555047,Foxhound Inn
113,53.3889596,-6.1412765,The Bayside Inn
115,53.3979684,-6.1271371,The White House
114,53.3966784,-6.1370042,The Racecourse Inn
116,53.40885400000001,-6.1784149999999975,Campions
117,53.4032355,-6.206577999999999,Martin's
118,53.3958802,-6.2138415,Liz Delaney's
119,53.3969669,-6.2290588,Astro Park
122,53.3858007,-6.2336434,The Beaumont House
121,53.39122279999999,-6.2353834999999975,The Kilmardinny Inn
120,53.39601769999999,-6.2451519,The Swiss Cottage
123,53.380972,-6.24578,The Viscount House
124,53.37579789999999,-6.2399460000000015,The Goose Tavern
125,53.37671100000001,-6.2232614,Kitty Kiernans
126,53.3677624,-6.2270647000000015,Graingers
127,53.364574,-6.2298348999999975,Barcode Fusion Fun And Fortune
130,53.3634324,-6.235793,Smyths Of Fairview
128,53.3630649,-6.236479399999999,Gaffney And Son
131,53.36262800000001,-6.242369099999999,Meagher's
129,53.35963910000001,-6.2403202,Annesley House
132,53.35754739999999,-6.2425893,Cusacks
133,53.3595041,-6.2449202,The Ref
134,53.3574846,-6.2482034,O'neills
509,53.3585185,-6.2543228,James Gill
502,53.3584166,-6.2559159000000015,Phil Ryans
505,53.35973420000001,-6.2569697,The Hideout
515,53.3550238,-6.2572031,Hill 16
11,53.35230600000001,-6.258913,Admiral
374,53.35088349999999,-6.2589421,The Church
373,53.3504318,-6.255246400000001,The Celt Bar
377,53.3500865,-6.252750799999999,The Isaac Butt Bar And Restaurant
520,53.35088709999999,-6.2528635,74 Talbot
