latitude,longitude,trading_name
53.350431799999996,-6.255246400000001,The Celt Bar
53.35088349999999,-6.2589421,The Church
53.35026510000001,-6.258365400000001,The Confession Box
53.35017999999999,-6.259359,Madigan's
53.350086499999996,-6.2527507999999985,The Isaac Butt Bar And Restaurant
53.34907519999999,-6.248266200000001,Urban Brewing
53.3495791,-6.2430775,Lagoona
53.34604870000001,-6.2406530999999985,The Ferryman
53.342861,-6.236948,Charlotte Quay Restaurant
53.339684,-6.2421836,Becky Morgan's
53.337900100000006,-6.2428233,Scruffy Murphys
53.3372738,-6.2342466,Slattery's Public House
53.337328600000006,-6.2331933,The Lansdowne Bar
53.33701,-6.2341001999999985,The Chophouse
53.3363654,-6.2368377000000015,The Beggars Bush
53.3332656,-6.242967600000001,Searsons
53.33477329999999,-6.242700399999999,The 51
53.3347706,-6.243412200000002,Smyths
53.334709499999995,-6.2442305000000005,Angelina's
53.3333507,-6.243282499999999,The Waterloo
53.3313841,-6.2516186,O'briens
53.331022,-6.2592015,The Hilton Dublin
53.331715100000004,-6.2645751,The Bernard Shaw
53.3306816,-6.2642628999999985,J O'connell
53.330301299999995,-6.2638548,The Portobello
53.327491200000004,-6.261651500000001,The Mountpleasant Inn
53.3242993,-6.265210099999999,The Bowery
53.319051,-6.264647,Murphy's
53.3218115,-6.2655983,Copan
53.3218299,-6.266355099999998,Grace's
53.32114199999999,-6.265385999999999,Rody Bolands
53.32216460000001,-6.2659132999999985,M B Slattery
53.3258062,-6.266717400000001,The Rathmines Hotel
53.330689899999996,-6.2653013999999985,The Lower Deck
53.333478299999996,-6.264814299999999,The Bleeding Horse
53.33489300000001,-6.265452,Raw
53.3355395,-6.2654505,Devitts
53.334027299999995,-6.264995900000001,Cassidys
53.335294700000006,-6.2649447,Anseo
53.33596,-6.25666,Hartigans Bar
53.3352034,-6.2635920999999986,The Dean Hotel
53.3334327,-6.2624875,Odeon Bar And Restaurant
53.3326135,-6.2689182,The Black And Amber Pubic House
53.33214399999999,-6.2753872999999984,Leonard's Corner Cafe Bar
53.3300036,-6.275232599999999,The Harold House
53.3303945,-6.275719899999999,Mvp
53.33241429999999,-6.2754742,Headline Bar
53.3363556,-6.272859400000001,Kavanagh's
53.33693100000001,-6.265785,Solas Bar
53.3389395,-6.272304,Nash's Public House
53.340274300000004,-6.265504900000001,Bow Lane
53.340932499999994,-6.263268900000001,Peter's Pub
53.3446566,-6.2619355,Blooms Hotel/ The Vathouse Bar Of Temple Bar/ Club M
53.3450623,-6.2629595999999985,Vcc
53.344510899999996,-6.2642066,The Temple Bar
53.34494729999999,-6.2678933,The Czech Inn
53.34424839999999,-6.267112,Thomas Reads And The Oak
53.344532400000006,-6.2675044,The Front Lounge
53.344312699999996,-6.2660797,Olympia Theatre
53.3444284,-6.263455599999999,The Foggy Dew
53.3441191,-6.2615067,The Bank On College Green
53.34197760000001,-6.2646036999999986,Hogans
53.34207869999999,-6.264131099999998,Idlewild
53.34223570000001,-6.2617799000000005,Pygmalion
53.345316000000004,-6.2629151,The Bad Ass Cafe
53.345121,-6.26582,Bad Bobs Public House
53.3450877,-6.2674185,The Porterhouse
53.345077,-6.26717,Roberta's
53.344975,-6.275827,O'sheas Merchant
53.3406236,-6.2782174999999985,Graingers
53.33899350000001,-6.2734055,Fallons (the Capstan Bar)
